title,brand,reviews_rating_number,sell_amount,old_price_amount,old_price_cents,price_amount,price_cents,price_F,old_price_F,_source,_collected_at
Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,,4.4,100000 ,78.0,90.0,67.0,85.0,67.85,78.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Flexfocus Lite Modern Running Unissex Puma,PUMA,4.9,10000 ,399.0,99.0,219.0,99.0,219.99,399.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,,4.4,100000 ,78.0,90.0,67.0,85.0,67.85,78.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Flexfocus Lite Modern Running Unissex Puma,PUMA,4.9,10000 ,399.0,99.0,219.0,99.0,219.99,399.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tenis Masculino Academia Corrida Confortavel Caminhada,,4.7,1000 ,78.0,22.0,55.0,39.0,55.39,78.22,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Feminino Kappa Park 2.0 Original,KAPPA,4.7,50000 ,169.0,99.0,94.0,90.0,94.9,169.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Fila Progress Lite Masculino Corrida - Caminhada,FILA,4.8,1000 ,329.0,90.0,296.0,91.0,296.91,329.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino Voa 2 Olympikus,OLYMPIKUS,4.9,10000 ,299.0,99.0,202.0,99.0,202.99,299.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino Switch Move adidas,ADIDAS,4.9,1000 ,299.0,99.0,269.0,99.0,269.99,299.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis De Corrida Masc/femi Scend Pro 2 Com Cano Curto Puma,PUMA,4.9,500 ,449.0,99.0,319.0,99.0,319.99,449.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Fila Racer Speedzone Homem,FILA,4.9,1000 ,599.0,90.0,539.0,91.0,539.91,599.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Academia Casual Leve Barato Caminhada Macio,,4.9,50 ,62.0,90.0,38.0,80.0,38.8,62.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
"Tênis De Corrida Com Placa De Fibra De Carbono, Confortável",,0.0,,199.0,67.0,149.0,75.0,149.75,199.67,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Academia Caminhada Esportivo Corrida Macio,,4.4,500 ,78.0,90.0,64.0,47.0,64.47,78.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Sapatilha Náutica Híbrida Flexível Pesca Faxina Trilha,,4.7,1000 ,54.0,74.0,0.0,0.0,0.0,54.74,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Flyer Runner Mesh Bdp Puma,PUMA,4.8,100000 ,349.0,99.0,209.0,99.0,209.99,349.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Asics Gel Revelation Original Couro Academia Caminhada,ASICS,4.9,1000 ,299.0,90.0,89.0,90.0,89.9,299.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Kappa Pulse Rx Unissex Corrida Conforto,KAPPA,4.7,5000 ,289.0,99.0,172.0,10.0,172.1,289.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo It Shoes Amortecedor Gel Masculino,,4.6,10000 ,119.0,90.0,93.0,1.0,93.01,119.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Esportivo Academia Treino + Carteira Relogio,,4.5,10000 ,78.0,40.0,68.0,21.0,68.21,78.4,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tenis Academia Masculino Corrida Musculação Caminhada Treino,,4.5,5000 ,64.0,90.0,57.0,76.0,57.76,64.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tenis Masculino Confortavel/academia/crossfit + Relógio,DM DAMANDO,4.6,50000 ,74.0,90.0,69.0,90.0,69.9,74.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino E Feminino Asfalto Olympikus,OLYMPIKUS,4.9,1000 ,279.0,99.0,139.0,39.0,139.39,279.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Branco Academia Caminhada Esportivo Confortável Barato,OVERBOLD,4.6,50000 ,129.0,90.0,64.0,89.0,64.89,129.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Corrida Masculino Caminhada Treino Academia Esportivo,,4.6,5000 ,78.0,90.0,63.0,12.0,63.12,78.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Academia Light Space Corrida Confortável,IMPAX,4.6,5000 ,78.0,90.0,62.0,36.0,62.36,78.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino Sonoro 3 Olympikus,OLYMPIKUS,4.9,1000 ,349.0,99.0,277.0,99.0,277.99,349.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tenis Olimp Esportivo Masculino Feminino Leve E Macio,OLIMP,4.3,50000 ,78.0,90.0,69.0,43.0,69.43,78.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Speed Preto Unissex Treino Academia E Caminhada Macio,SPEED,4.5,1000 ,74.0,70.0,0.0,0.0,0.0,74.7,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tenis Academia Caminhada Leve Bonito Resistente Lindo Crosfi,,4.6,5000 ,102.0,90.0,77.0,17.0,77.17,102.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino E Feminino Voa 2 Olympikus,OLYMPIKUS,4.9,1000 ,299.0,99.0,233.0,99.0,233.99,299.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,,4.6,10000 ,229.0,90.0,104.0,40.0,104.4,229.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
